Loan_ID,Loan Category Code,ActualFirstDisbursementDate,ApprovalDate,FirstInstalmentDate,MaturityDate,LoanAmount,BillingFrequency,LoanInterestrate,NumberOfDependency,OtherLoansBalance,MaritalStatus,Gender,BirthDate,Target
005DTM4,0,2018-12-24,2018-12-28,2019-01-30,2020-12-30,17615.64,Monthly,71.21,3.0,2,Married,Female, Nov 1990,0
00E1LTS,0,2019-01-03,2019-01-24,2019-01-30,2020-12-30,12330.92,Monthly,71.21,3.0,1,Married,Male, Nov 1975,0
00T6VP0,0,2019-03-29,2019-03-29,2019-04-30,2021-03-30,17967.87,Monthly,71.21,2.0,0,Un-Married,Male, Mar 1966,0
00W9TT0,0,2019-02-14,2019-02-27,2019-03-30,2020-08-30,10786.73,Monthly,71.21,3.0,0,Married,Male, Sep 1980,0
0115VRN,0,2018-10-29,2018-10-31,2018-11-30,2020-10-30,20257.92,Monthly,71.21,3.0,4,Married,Male, Apr 1969,0
01A43YO,0,2019-04-26,2019-04-30,2019-05-30,2020-10-30,13476.03,Monthly,71.21,3.0,0,Married,Male, Jan 1963,0
01HD179,1,2019-07-12,2019-07-29,2019-08-30,2020-07-30,7718.47,Monthly,82.17,3.0,5,Married,Male, Dec 1960,1
01OC3FW,1,2020-01-15,2020-01-15,2020-02-28,2021-01-28,19534.42,Monthly,147.91,,0,Un-Married,Male, Jan 1977,0
01XBE6J,0,2019-05-30,2019-05-31,2019-06-30,2020-05-30,19764.81,Monthly,71.21,3.0,0,Married,Male, Dec 1966,0
02IJDG0,1,2019-08-10,2019-08-10,2019-09-30,2020-08-30,5788.85,Monthly,82.17,,0,Un-Married,Male, Jun 1974,1
02OYC4V,0,2019-04-30,2019-04-30,2019-05-30,2021-04-30,10780.79,Monthly,71.21,3.0,0,Married,Female, Apr 1977,0
02XXAGH,2,2020-09-17,2020-09-17,2020-10-30,2021-01-30,19534.42,Monthly,241.03,3.0,0,Married,Male, Oct 1968,0
033C2FC,1,2019-09-25,2019-09-30,2019-10-30,2020-09-30,28944.08,Monthly,82.17,,0,Un-Married,Male, Feb 1969,0
038IJ6Z,0,2019-01-24,2019-01-31,2019-02-28,2020-01-31,7046.19,Monthly,71.21,3.0,5,Married,Male, Mar 1971,0
039Y4M9,3,2019-12-11,2019-12-27,2020-01-30,2020-12-30,135311.11,Monthly,147.91,3.0,0,Un-Married,Male, Jun 1975,0
03L789T,1,2019-09-12,2019-09-17,2019-09-30,2020-08-30,47661.32,Monthly,82.17,1.0,4,Married,Male, Mar 1979,0
044G424,0,2018-10-17,2018-10-31,2018-11-30,2020-10-30,7046.19,Monthly,71.21,3.0,0,Un-Married,Male, Aug 1970,0
046QULZ,0,2018-10-23,2018-10-31,2018-11-30,2020-10-30,7046.19,Monthly,71.21,3.0,2,Un-Married,Male, Nov 1973,1
04C990S,0,2018-11-27,2018-11-30,2018-12-30,2020-11-30,8807.82,Monthly,71.21,2.0,3,Un-Married,Female, Nov 1985,1
04IDO7Z,0,2019-05-03,2019-05-29,2019-05-30,2020-04-30,14374.33,Monthly,71.21,3.0,2,Married,Male, May 1959,1
04LKHLA,0,2019-06-01,2019-06-17,2019-06-30,2020-05-30,12577.56,Monthly,71.21,3.0,1,Married,Male, Mar 1981,1
04QZDK3,1,2019-08-29,2019-08-29,2019-09-30,2020-08-30,2894.34,Monthly,82.17,,0,Un-Married,Female, Jul 1974,1
04Z8ITD,0,2019-05-20,2019-05-20,2019-06-30,2020-05-30,10780.79,Monthly,71.21,3.0,1,Married,Female, Nov 1968,1
0565YJH,2,2019-09-30,2019-09-30,2019-10-30,2020-09-30,17366.55,Monthly,82.17,2.0,2,Un-Married,Female, Feb 1977,1
05HOVTY,0,2018-11-26,2018-11-30,2018-12-30,2020-11-30,13211.73,Monthly,71.21,3.0,0,Un-Married,Male, Apr 1983,1
05N46B5,0,2018-11-02,2018-11-12,2018-11-30,2020-10-30,7046.19,Monthly,71.21,3.0,0,Un-Married,Male, Jun 1983,1
060641O,1,2020-02-25,2020-02-28,2020-03-30,2021-02-28,9886.34,Monthly,147.91,3.0,2,Married,Male, Jan 1968,0
065WNJ9,1,2019-06-24,2019-06-28,2019-07-30,2020-06-30,41326.22,Monthly,82.17,3.0,2,Un-Married,Male, Jan 1977,1
068EDM9,0,2019-01-24,2019-01-31,2019-02-28,2021-01-31,7046.19,Monthly,71.21,3.0,6,Married,Female, Mar 1967,0
069KV1E,3,2019-08-01,2019-08-01,2019-09-30,2020-08-30,32803.32,Monthly,82.17,,0,Un-Married,Female, Dec 1976,1
06IYX7D,1,2020-01-16,2020-01-29,2020-02-29,2021-01-31,29182.51,Monthly,147.91,2.0,1,Un-Married,Male, May 1985,0
06M00JY,0,2018-11-22,2018-11-30,2018-12-30,2019-02-28,5284.73,Monthly,71.21,3.0,0,Un-Married,Female, Mar 1985,0
06TNLEQ,0,2018-12-24,2018-12-28,2019-01-30,2020-12-30,17615.64,Monthly,71.21,2.0,5,Un-Married,Male, Jul 1966,0
070TT4P,1,2019-08-29,2019-08-29,2019-09-30,2020-08-30,19296.17,Monthly,82.17,,0,Un-Married,Male, Aug 1984,0
07FNWJ1,1,2019-10-24,2019-10-31,2019-11-30,2020-10-30,9648.09,Monthly,147.91,3.0,2,Un-Married,Male, Feb 1988,0
07GHBBP,1,2019-07-31,2019-07-31,2019-08-30,2020-07-30,15436.94,Monthly,82.17,3.0,1,Married,Female, Apr 1982,1
07N0APK,0,2018-12-21,2018-12-28,2019-01-30,2019-12-30,8807.82,Monthly,71.21,3.0,2,Married,Female, Dec 1979,0
07Q5YBU,0,2019-02-01,2019-02-14,2019-02-28,2021-01-31,31708.2,Monthly,71.21,1.0,2,Married,Male, Feb 1965,0
07RMGYH,0,2019-01-28,2019-01-31,2019-02-28,2020-01-31,3523.09,Monthly,71.21,3.0,1,Married,Male, Apr 1975,0
080BVYK,0,2019-01-14,2019-01-24,2019-02-28,2020-01-31,17615.64,Monthly,71.21,1.0,2,Un-Married,Male, Jul 1965,0
0829QGL,0,2019-06-01,2019-06-17,2019-06-30,2020-05-30,35935.91,Monthly,71.21,3.0,0,Un-Married,Female, May 1981,1
08CTFX9,0,2019-04-30,2019-04-30,2019-05-30,2021-04-30,35935.91,Monthly,71.21,1.0,6,Married,Male, Sep 1970,0
08F26RS,3,2020-06-24,2020-06-25,2020-07-30,2020-10-30,38830.6,Monthly,251.99,3.0,2,Un-Married,Female, Sep 1980,1
